title,url,type,date,views,main,additional,rating,comment
"7 трюков для глубокого обучения, о которых вы не знали",https://proglib.io/p/deep-learning-tricks,перевод,2019-07-14,,Глубокое обучение,,2,
Наглядно объясняем операцию свертки в моделях глубокого обучения,https://proglib.io/p/convolution,перевод,2018-07-08,,Глубокое обучение,,3,
Учебный план изучения основ глубокого обучения и нейросетей за 6 недель,https://proglib.io/p/deep-learning-in-6-weeks,подборка,2018-06-08,,Глубокое обучение,,3,
Наглядное введение в нейросети на примере распознавания цифр,https://proglib.io/p/neural-network-course,подборка,2018-03-28,,Глубокое обучение,,3,
Нейронная сеть на Python в 15 строк кода для диагностики диабета,https://proglib.io/p/diabetes-network,подборка,2018-02-06,,Глубокое обучение,,2,
Что нового в Pandas 1.0? 🐼,https://proglib.io/p/chto-novogo-v-pandas-1-0-2020-01-23,перевод,2020-01-23,,Data Science,,3,
Обучение модели обнаружения объектов YOLO на пользовательском наборе данных,https://proglib.io/p/obuchenie-modeli-obnaruzheniya-obektov-yolo-na-polzovatelskom-nabore-dannyh-2020-01-21,перевод,2020-01-21,,Глубокое обучение,,3,
7 лучших видео TED по тематике Data Science,https://proglib.io/p/7-luchshih-video-ted-po-tematike-data-science-2020-01-20,подборка,2020-01-20,,Data Science,видео,3,
"Опыт разработки: почему мы пишем инфраструктуру машинного обучения на Go, а не на Python",https://proglib.io/p/opyt-razrabotki-pochemu-my-pishem-infrastrukturu-mashinnogo-obucheniya-na-go-a-ne-na-python-2020-01-15,перевод,2020-01-15,,Data Science,"Go, Python",3,
Анализируй данные с помощью одной строки на Python,https://proglib.io/p/analiziruy-dannye-s-pomoshchyu-odnoy-stroki-koda-na-python-2019-10-02,перевод,2019-10-02,,Data Science,Python,5,
Big Data: размер имеет значение,https://proglib.io/p/big-data-razmer-imeet-znachenie-2019-10-19,перевод,2019-10-19,,Data Science,,3,
7 фреймворков автоматического машинного обучения,https://proglib.io/p/auto-ml,перевод,2019-08-08,,Data Science,AutoML,3,
Встречайте: версия 4.0 графической библиотеки plotly для Python,https://proglib.io/p/plotly-4,перевод,2019-07-30,,Data Science,Plotly,3,
Забудьте о matplotlib: визуализация данных в Python вместе с plotly,https://proglib.io/p/plotly,перевод,2019-01-26,,Data Science,Plotly,3,
Теорема Байеса: Святой Грааль Data Science,https://proglib.io/p/bayes-theorem,перевод,2019-01-15,,Data Science,математика,3,
Jupyter Notebook: галерея блокнотов по ML и Data Science,https://proglib.io/p/jupyter-notebook-best,перевод,2018-12-01,,Data Science,Jupyter,5,
Искусственный интеллект и рост вычислительных мощностей,https://proglib.io/p/ai-and-compute,перевод,2018-06-14,,Data Science,,3,
Мнения людей из индустрии Data Science о развитии отрасли,https://proglib.io/p/data-science-dialogues,статья,2018-06-04,,Data Science,мнения,4,
ТОП-10 мировых публикаций по машинному обучению за апрель 2018,https://proglib.io/p/ml-april-2018,перевод,2018-05-30,,Data Science,,3,
10 рецептов машинного обучения от разработчиков Google,https://proglib.io/p/google-ml-recipes,перевод,2018-05-19,,Data Science,Google,3,
JupyterLab и Jupyter Notebook — мощные инструменты Data Scienc,https://proglib.io/p/jupyter-notebook-best,статья,2018-12-01,,Data Science,,4,
От новичка до профи в машинном обучении за 3 месяца,https://proglib.io/p/ml-3months,подборка,2018-03-09,,Data Science,,5,
Стартап в сфере искусственного интеллекта в 2018,https://proglib.io/p/ai-startup,перевод,2018-03-02,,Data Science,,3,
Трейдинг и машинное обучение с подкреплением,https://proglib.io/p/trade-learning,перевод,2018-02-15,,Data Science,,3,
