title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Просто добавь нейросеть: 7 исторических фильмов в 4K и 60 FPS,https://proglib.io/p/prosto-dobav-neyroset-7-istoricheskih-filmov-v-4k-i-60-fps-2020-03-15,▶️👁️,,,,подборка,2020-03-15,4282.0,Глубокое обучение,видео,5.0,
Учим искусственный интеллект раскрашивать контурные изображения персонажей аниме,https://proglib.io/p/sketch2color-uchim-iskusstvennyy-intellekt-raskrashivat-konturnye-izobrazheniya-personazhey-anime-2019-12-30,🖍️👁️,https://towardsdatascience.com/sketch-to-color-anime-translation-using-generative-adversarial-networks-gans-8f4f69594aeb,,,перевод,2019-12-30,5282.0,Глубокое обучение,,3.0,
"Голосовой DeepFake, или Как работает технология клонирования голоса",https://proglib.io/p/golosovoy-deepfake-ili-kak-rabotaet-tehnologiya-klonirovaniya-golosa-2019-12-11,💬,,,,перевод,2019-12-11,20687.0,Глубокое обучение,,3.0,
DeepFake-туториал: создаем собственный дипфейк в DeepFaceLab,https://proglib.io/p/deepfake-tutorial-sozdaem-sobstvennyy-dipfeyk-v-deepfacelab-2019-11-16,📝,https://github.com/iperov/DeepFaceLab/,,,инструкция,2019-11-16,104030.0,Глубокое обучение,,3.0,
Автоматическое распознавание автомобильных номеров на Raspberry Pi,https://proglib.io/p/avtomaticheskoe-raspoznavanie-avtomobilnyh-nomerov-na-raspberry-pi-2019-11-01,👁️,,,,перевод,2019-11-01,5555.0,Компьютерное зрение,"автомобильные номера, распознавание",3.0,
Учебный план освоения компьютерного зрения за 8 недель,https://proglib.io/p/cv-plan,👨‍🎓️👁️,,,,подборка,2019-07-21,89279.0,Компьютерное зрение,,3.0,
Чек-лист для отладки нейронной сети: 5 шагов на пути к успеху,https://proglib.io/p/networks-debugging,📝,https://towardsdatascience.com/checklist-for-debugging-neural-networks-d8b2a9434f21,,,перевод,2019-04-12,9181.0,Глубокое обучение,,3.0,
TensorFlow умер. Да здравствует TensorFlow 2.0!,https://proglib.io/p/tensorflow2,🗞️,,,,перевод,2019-04-03,18083.0,Глубокое обучение,,3.0,
Фреймворк глубокого обучения в 2019: выбираем из 10 лучших,https://proglib.io/p/dl-frameworks,,https://www.youtube.com/watch?v=SJldOOs4vB8,,,перевод,2019-02-06,18817.0,Глубокое обучение,,3.0,
"7 трюков для глубокого обучения, о которых вы не знали",https://proglib.io/p/deep-learning-tricks,,https://towardsdatascience.com/deep-learning-tips-and-tricks-1ef708ec5f53,,,перевод,2019-07-14,18632.0,Глубокое обучение,,2.0,
Наглядно объясняем операцию свертки в моделях глубокого обучения,https://proglib.io/p/convolution,🔢,https://towardsdatascience.com/intuitively-understanding-convolutions-for-deep-learning-1f6f42faee1,,,перевод,2018-07-08,35928.0,Глубокое обучение,,3.0,
Учебный план изучения основ глубокого обучения и нейросетей за 6 недель,https://proglib.io/p/deep-learning-in-6-weeks,👨‍🎓️,,,,подборка,2018-06-08,45426.0,Глубокое обучение,,3.0,
Наглядное введение в нейросети на примере распознавания цифр,https://proglib.io/p/neural-network-course,👁️,,,,подборка,2018-03-28,100720.0,Глубокое обучение,,3.0,
Нейронная сеть на Python в 15 строк кода для диагностики диабета,https://proglib.io/p/diabetes-network,,,,,подборка,2018-02-06,65788.0,Глубокое обучение,,2.0,
Что нового в Pandas 1.0? 🐼,https://proglib.io/p/chto-novogo-v-pandas-1-0-2020-01-23,🗞️,https://towardsdatascience.com/whats-new-in-pandas-1-0-ffa99bd43a58,,,перевод,2020-01-23,2608.0,Data Science,,3.0,
