title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Как компании превращают данные в деньги: обзор российских практик Data Science,https://proglib.io/p/kak-kompanii-prevrashchayut-dannye-v-dengi-obzor-rossiyskih-praktik-data-science-2020-07-18,🏢,,,,статья,2020-07-18,4754.0,Data Science,,,
Как научиться Data Science онлайн,https://proglib.io/p/kak-nauchitsya-data-science-onlayn-12-shagov-ot-novichka-do-profi-2020-06-30,👨‍🎓️,,,,статья,2020-06-30,7741.0,Data Science,,5.0,
30 YouTube-каналов и плейлистов о Data Science,https://proglib.io/p/30-youtube-kanalov-i-pleylistov-o-data-science-2020-06-17,▶️,,,,подборка,2020-06-17,11456.0,Data Science,YouTube,4.0,
6 крупных open source проектов в сфере Data Science,https://proglib.io/p/6-krupnyh-open-source-proektov-v-sfere-data-science-2019-11-20,🔗,https://www.analyticsvidhya.com/blog/2019/11/6-open-source-data-science-projects/,,,перевод,2019-11-20,5103.0,Data Science,,1.0,
10 строк для диагностики болезни Паркинсона с помощью XGBoost,https://proglib.io/p/xgboost,,https://towardsdatascience.com/detect-parkinsons-with-10-lines-of-code-intro-to-xgboost-51a4bf76b2e6,,,перевод,2018-04-21,15035.0,Data Science,,1.0,
70 YouTube-каналов и плейлистов о мобильной разработке,https://proglib.io/p/70-youtube-kanalov-i-pleylistov-o-mobilnoy-razrabotke-2020-07-02,▶️📱,,,,подборка,2020-07-02,6358.0,Mobile,YouTube,4.0,
JavaScript для Python-программистов: познание через сравнение,https://proglib.io/p/javascript-dlya-python-programmistov-poznanie-cherez-sravnenie-2020-05-29,🌟,https://realpython.com/python-vs-javascript/,,,перевод,2020-05-29,18535.0,JavaScript,,4.0,
10 книг по PHP: от новичка до профессионала,https://proglib.io/p/top-10-knig-po-php-ot-novichka-do-professionala-2020-05-24,📕,,,,подборка,2020-05-24,14628.0,PHP,книги,4.0,
50 YouTube-каналов для разработчиков игр,https://proglib.io/p/50-youtube-kanalov-dlya-razrabotchikov-igr-2020-05-13,▶️🌟,,,,подборка,2020-05-13,29882.0,GameDev,YouTube,4.0,
О правильном дизайне полей с выпадающими списками,https://proglib.io/p/o-pravilnom-dizayne-poley-s-vypadayushchimi-spiskami-2020-05-07,🖼️,https://uxdesign.cc/ui-cheat-sheet-dropdown-field-a30025c0f432,,,,2020-05-07,4506.0,Дизайн,выпадающие списки,4.0,
25 лучших книг для программистов,https://proglib.io/p/25-luchshih-knig-dlya-programmistov-2020-05-05,📕,,,,подборка,2020-05-05,29779.0,Общее,книги,4.0,
70 YouTube-каналов для фронтенд-разработчика,https://proglib.io/p/70-youtube-kanalov-dlya-frontend-razrabotchika-2020-05-03,▶️🌟,,,,подборка,2020-05-03,22793.0,Frontend,YouTube,4.0,
ТОП-10 книг по C++: от новичка до профессионала,https://proglib.io/p/top-10-knig-po-c-ot-novichka-do-professionala-2020-03-29,📕,,,,подборка,2020-03-29,20125.0,C++,книги,,
ТОП-10 книг по C#: от новичка до профессионала,https://proglib.io/p/top-10-knig-po-c-ot-novichka-do-professionala-2020-03-18,📕,,,,подборка,2020-03-18,28620.0,C#,книги,,
Rough.js: как заставить компьютер рисовать «от руки»,https://proglib.io/p/rough-js-kak-zastavit-kompyuter-risovat-ot-ruki-2020-01-29,🖼️📊,,,,статья,2020-01-29,1996.0,JavaScript,библиотека,,
Как на C++ быстро заполнить нулями большой массив?,https://proglib.io/p/kak-na-c-bystro-zapolnit-nulyami-bolshoy-massiv-2020-01-22,🤔,https://lemire.me/blog/2020/01/20/filling-large-arrays-with-zeroes-quickly-in-c/,,,перевод,2020-01-22,6614.0,C++,прием,,
